Identificador|periodo|DIAS1|DIAS2|DIAS3|DIAS4|DIAS5|DIAS6|DIAS0|Numero_Producto|GENERO|Saldo_Mora1|Cupo|Saldo_Mora2|Saldo1|Saldo_Mora3|Saldo2|Saldo_Mora4|Saldo3|Saldo_Mora5|Saldo4|Saldo_Mora6|Saldo5|Saldo6
92966486706|201806|26|57|0|26|56|0|24|3|F|185019|206554832,6|0|204776040,5|0|203168347,8|3571159,86|205117773,4|0|199910714,9|3568775,63|201829304,6|196595930,7
92966452824|201712|0|0|0|0|0|0|0|1||||||||||||||
92967411236|201712|0|7|35|10|0|9|0|1|F|||||||||||||
92966512585|201809|0|0|0|27|0|NA|0|1||||||||||||0|0|0
92966452461|201712|0|0|0|0|0|0|0|1|M|0|0|0|0|0|0|0|0|0|0|0|0|0
92966487007|201803|3|4|2|0|4|1|1|2|F|443369,13|32355451,61|443418,81|32210364,8|443256,91|32063854,06|443332,26|31916358,21|443342,82|31767565,2|443243,96|31617419,39|31466067,38
92966509936|201803|0|0|0|0|0|0|0|2|M|424709|18049653,72|421200|18783421,06|434597|18665296,56|430049|18815849,48|426354|18304411,36|403489|18846647,22|18288876,04
92966454020|201712|0|0|0|0|0|0|0|2|M|0|0|0|0|0|0|0|0|0|0|0|0|0
92966524233|201712|75|103|131|70|43|72|41|1|M|5606|818656|18770|765415,92|18009|959282,68|46651,96|963655|24649|922616,72|22921|969460,46|943573,09
92966459123|201809|4|3|1|4|1|NA|1|2|F|||||||||||||
92966456282|201809|0|0|0|0|0|NA|0|1||0|0|0|0|0|0|0|0|0|0|0|0|0
92966455821|201712|0|9|0|0|0|10|0|1|M|20882|1052878|20608|1058490|18275|1057780|19853|1063648|14883|619546|9505|599970|538784
92966486883|201803|0|0|0|0|0|0|0|1||0|0|0|0|0|0|0|0|0|0|0|0|0
92966523048|201803|13|14|0|14|45|73|11|1|M|||||0|50358042,22|0|49840628,98|0|49315287,97|0|48781885,64|48417184,09
92966503779|201803|0|0|0|0|0|0|0|1|M|31588|1480255|28191|1388446|29615|1427661|28087|1342748|27054|1254802|24936|1179738|1171373
92966511352|201709|42|72|100|134|162|190|10|1|M|51415|2639418|57275|2651043|54682|2541077,15|57460|2653381|240385,02|2712449|67567|2686726,9|2751183,9
